timestamp,source_ip,destination_ip,port,protocol,packet_size,duration,flag_count,login_attempts,response_code,user_agent
2024-01-01 10:00:00,192.168.1.100,10.0.0.1,80,TCP,512,5,3,1,200,Mozilla/5.0
2024-01-01 10:01:00,192.168.1.101,10.0.0.2,443,TCP,1024,10,5,1,200,Chrome/120.0
2024-01-01 10:02:00,192.168.1.102,10.0.0.3,22,TCP,256,60,20,5,401,SSH-Client
2024-01-01 10:03:00,192.168.1.103,10.0.0.1,3389,TCP,2048,120,50,10,200,RDP-Client
2024-01-01 10:04:00,192.168.1.104,10.0.0.5,53,UDP,128,1,1,1,200,DNS-Resolver
2024-01-01 10:05:00,192.168.1.100,10.0.0.1,80,TCP,65535,1,100,20,500,Malicious-Bot
2024-01-01 10:06:00,192.168.1.105,10.0.0.6,23,TCP,512,300,200,50,200,Telnet-Client
2024-01-01 10:07:00,192.168.1.106,10.0.0.7,21,TCP,1024,180,150,30,200,FTP-Client
2024-01-01 10:08:00,192.168.1.107,10.0.0.8,25,TCP,768,240,80,15,200,SMTP-Client
2024-01-01 10:09:00,192.168.1.108,10.0.0.9,110,TCP,384,90,40,8,200,POP3-Client
2024-01-01 10:10:00,192.168.1.109,10.0.0.10,143,TCP,256,45,25,6,200,IMAP-Client
2024-01-01 10:11:00,192.168.1.110,10.0.0.11,993,TCP,512,30,15,3,200,Secure-IMAP
2024-01-01 10:12:00,192.168.1.111,10.0.0.12,995,TCP,768,25,12,2,200,Secure-POP3
2024-01-01 10:13:00,192.168.1.112,10.0.0.13,3306,TCP,4096,5,2,1,200,MySQL-Client
2024-01-01 10:14:00,192.168.1.113,10.0.0.14,5432,TCP,3072,7,3,1,200,PostgreSQL
2024-01-01 10:15:00,192.168.1.114,10.0.0.15,27017,TCP,2048,10,4,1,200,MongoDB
2024-01-01 10:16:00,192.168.1.115,10.0.0.16,9200,TCP,5120,3,1,1,200,ElasticSearch
2024-01-01 10:17:00,192.168.1.116,10.0.0.17,5601,TCP,1024,2,1,1,200,Kibana
2024-01-01 10:18:00,192.168.1.117,10.0.0.18,8080,TCP,768,15,8,2,200,Proxy-Server
2024-01-01 10:19:00,192.168.1.118,10.0.0.19,8443,TCP,1536,8,5,1,200,HTTPS-Alt
2024-01-01 10:20:00,192.168.1.119,10.0.0.20,9000,TCP,512,12,6,1,200,PHP-FPM
2024-01-01 10:21:00,192.168.1.120,10.0.0.21,3000,TCP,256,20,10,2,200,NodeJS
2024-01-01 10:22:00,192.168.1.121,10.0.0.22,5000,TCP,384,25,12,3,200,Flask-App
2024-01-01 10:23:00,192.168.1.122,10.0.0.23,6379,TCP,128,1,1,100,200,Redis
2024-01-01 10:24:00,192.168.1.123,10.0.0.24,11211,TCP,64,1,1,200,200,Memcached
2024-01-01 10:25:00,192.168.1.124,10.0.0.25,5984,TCP,512,5,3,50,200,CouchDB
2024-01-01 10:26:00,192.168.1.125,10.0.0.26,8161,TCP,1024,10,5,30,200,ActiveMQ
2024-01-01 10:27:00,192.168.1.126,10.0.0.27,5672,TCP,768,15,8,20,200,RabbitMQ
2024-01-01 10:28:00,192.168.1.127,10.0.0.28,1883,TCP,256,20,10,15,200,MQTT
2024-01-01 10:29:00,192.168.1.128,10.0.0.29,8883,TCP,512,25,12,10,200,Secure-MQTT
2024-01-01 10:30:00,192.168.1.129,10.0.0.30,27018,TCP,2048,30,15,5,200,MongoDB-Shard
2024-01-01 10:31:00,192.168.1.130,10.0.0.31,50000,TCP,4096,1,1,1000,500,SAP-Router
2024-01-01 10:32:00,192.168.1.131,10.0.0.32,514,TCP,1024,5,3,50,200,Syslog
2024-01-01 10:33:00,192.168.1.132,10.0.0.33,161,UDP,512,1,1,30,200,SNMP
2024-01-01 10:34:00,192.168.1.133,10.0.0.34,162,UDP,768,1,1,25,200,SNMP-Trap
2024-01-01 10:35:00,192.168.1.134,10.0.0.35,69,UDP,256,2,1,20,200,TFTP
2024-01-01 10:36:00,192.168.1.135,10.0.0.36,123,UDP,128,1,1,15,200,NTP
2024-01-01 10:37:00,192.168.1.136,10.0.0.37,137,UDP,512,1,1,10,200,NetBIOS
2024-01-01 10:38:00,192.168.1.137,10.0.0.38,138,UDP,768,1,1,8,200,NetBIOS-DGM
2024-01-01 10:39:00,192.168.1.138,10.0.0.39,139,TCP,1024,5,3,6,200,NetBIOS-SSN
2024-01-01 10:40:00,192.168.1.139,10.0.0.40,445,TCP,2048,10,5,5,200,SMB
2024-01-01 10:41:00,192.168.1.140,10.0.0.41,548,TCP,1536,15,8,4,200,AFP
2024-01-01 10:42:00,192.168.1.141,10.0.0.42,2049,TCP,3072,20,10,3,200,NFS
2024-01-01 10:43:00,192.168.1.142,10.0.0.43,111,TCP,512,5,3,2,200,Portmapper
2024-01-01 10:44:00,192.168.1.143,10.0.0.44,515,TCP,768,10,5,1,200,LPD
2024-01-01 10:45:00,192.168.1.144,10.0.0.45,631,TCP,1024,15,8,1,200,IPP
2024-01-01 10:46:00,192.168.1.145,10.0.0.46,873,TCP,2048,30,15,50,200,rsync
2024-01-01 10:47:00,192.168.1.146,10.0.0.47,989,TCP,1536,25,12,40,200,FTPS-Data
2024-01-01 10:48:00,192.168.1.147,10.0.0.48,990,TCP,1024,20,10,30,200,FTPS
2024-01-01 10:49:00,192.168.1.148,10.0.0.49,2222,TCP,512,5,3,20,200,SSH-Alt
